GCounter Multiple Increment 350 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
PNCounter Multiple Increment 350 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
LWWReg Multiple Set 350 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
MVReg Multiple Set 350 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
Map Multiple Insert 350 Avg Memory Usage: Physical: 5.37 bytes, Virtual: 10.08 bytes
List Multiple Insert 350 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
GList Multiple Insert 350 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
GSet Multiple Insert 400 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
Orswot Multiple Insert 400 Avg Memory Usage: Physical: 1.17 bytes, Virtual: 1.17 bytes
GCounter Multiple Increment 400 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
PNCounter Multiple Increment 400 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
LWWReg Multiple Set 400 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
MVReg Multiple Set 400 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
Map Multiple Insert 400 Avg Memory Usage: Physical: 4.55 bytes, Virtual: 8.83 bytes
List Multiple Insert 400 Avg Memory Usage: Physical: 1.15 bytes, Virtual: 1.15 bytes
GList Multiple Insert 400 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
GSet Multiple Insert 450 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
Orswot Multiple Insert 450 Avg Memory Usage: Physical: 1.95 bytes, Virtual: 2.08 bytes
GCounter Multiple Increment 450 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
PNCounter Multiple Increment 450 Avg Memory Usage: Physical: 0.00 bytes, Virtual: 0.00 bytes
